step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
210,110624,3360,0.0355535670191982,0.6875,0.6875,,,,,,,,,
211,111152,3376,0.03245219357965851,0.5625,0.5625,,,,,,,,,
212,111680,3392,0.02758924950918612,0.6875,0.6875,,,,,,,,,
213,112208,3408,0.031146812736262464,0.5625,0.5625,,,,,,,,,
214,112736,3424,0.02669063312762802,0.5625,0.5625,,,,,,,,,
215,113264,3440,0.026391359359470526,0.8125,0.8125,,,,,,,,,
216,113792,3456,0.033981745251874716,0.5625,0.5625,,,,,,,,,
217,114320,3472,0.030763322483815046,0.5625,0.5625,0.027918562783319775,0.6875,0.6875,,,,,,
218,114848,3488,0.027255502327062114,0.75,0.75,,,,,,,,,
219,115376,3504,0.025372755642370064,0.6875,0.6875,,,,,,,,,
220,115904,3520,0.023632861404481675,0.625,0.625,,,,,,,,,
221,116432,3536,0.02923585715433205,0.75,0.75,,,,,,,,,
222,116960,3552,0.029566235108292177,0.6875,0.6875,,,,,,,,,
223,117488,3568,0.029873153573302606,0.625,0.625,,,,,,,,,
224,118016,3584,0.030018458832464602,0.375,0.375,,,,,,,,,
225,118544,3600,0.028847433659648803,0.6875,0.6875,0.026344588082421863,0.6875,0.6875,,,,,,
226,119072,3616,0.02993705371090187,0.6875,0.6875,,,,,,,,,
227,119600,3632,0.03175441958835848,0.625,0.625,,,,,,,,,
228,120128,3648,0.028004707614283583,0.625,0.625,,,,,,,,,
229,120656,3664,0.03677511845167998,0.5,0.5,,,,,,,,,
230,121184,3680,0.028600090691500102,0.75,0.75,,,,,,,,,
231,121712,3696,0.026527894184045525,0.5625,0.5625,,,,,,,,,
232,122240,3712,0.023438141175718675,0.6875,0.6875,,,,,,,,,
233,122768,3728,0.026011853413096447,0.9375,0.9375,0.03072459282502166,0.375,0.375,,,,,,
234,123296,3744,0.025015315185123656,0.75,0.75,,,,,,,,,
235,123824,3760,0.026676952431038216,0.75,0.75,,,,,,,,,
236,124352,3776,0.030844059778920043,0.6875,0.6875,,,,,,,,,
237,124880,3792,0.01795686813393843,0.875,0.875,,,,,,,,,
238,125408,3808,0.031032710915025633,0.625,0.625,,,,,,,,,
239,125936,3824,0.027842010093654602,0.6875,0.6875,,,,,,,,,
240,126464,3840,0.029128072467111684,0.6875,0.6875,,,,,,,,,
241,126992,3856,0.02872054487801961,0.4375,0.4375,0.02795672574204218,0.5,0.5,,,,,,
242,127520,3872,0.025954327223327026,0.6875,0.6875,,,,,,,,,
243,128048,3888,0.024770605347715104,0.8125,0.8125,,,,,,,,,
244,128576,3904,0.02602193725826566,0.6875,0.6875,,,,,,,,,
245,129104,3920,0.0322704080880095,0.5625,0.5625,,,,,,,,,
246,129632,3936,0.029884837463811216,0.6875,0.6875,,,,,,,,,
247,130160,3952,0.031614164589819894,0.6875,0.6875,,,,,,,,,
248,130688,3968,0.03168172987162791,0.625,0.625,,,,,,,,,
249,131216,3984,0.024247126626565887,0.6875,0.6875,0.02313180342035082,0.8125,0.8125,,,,,,
250,131744,4000,0.02357663700764988,0.75,0.75,,,,,,,,,
251,132272,4016,0.03137413365047961,0.6875,0.6875,,,,,,,,,
252,132800,4032,0.024505387762208102,0.875,0.875,,,,,,,,,
253,133328,4048,0.03261842609537893,0.5625,0.5625,,,,,,,,,
254,133856,4064,0.03633533226617089,0.5625,0.5625,,,,,,,,,
255,134384,4080,0.028116714669172895,0.625,0.625,,,,,,,,,
256,134912,4096,0.02356970211670017,0.75,0.75,,,,,,,,,
257,135440,4112,0.028798439560820843,0.625,0.625,0.02547536287426283,0.75,0.75,,,,,,
258,135968,4128,0.025990880213446987,0.75,0.75,,,,,,,,,
259,136496,4144,0.03453101055487025,0.5625,0.5625,,,,,,,,,
260,137024,4160,0.02989056146083584,0.75,0.75,,,,,,,,,
261,137552,4176,0.02676573790537418,0.6875,0.6875,,,,,,,,,
262,138080,4192,0.0308140146797632,0.5625,0.5625,,,,,,,,,
263,138608,4208,0.029887796660160008,0.625,0.625,,,,,,,,,
264,139136,4224,0.030278948383963777,0.625,0.625,,,,,,,,,
265,139664,4240,0.030170630746323472,0.625,0.625,0.026607271865881327,0.8125,0.8125,,,,,,
266,140192,4256,0.03147386418519772,0.6875,0.6875,,,,,,,,,
267,140720,4272,0.03317549041395182,0.8125,0.8125,,,,,,,,,
268,141248,4288,0.025925180504275433,0.75,0.75,,,,,,,,,
269,141776,4304,0.027083184919445672,0.625,0.625,,,,,,,,,
270,142304,4320,0.031190852264219304,0.75,0.75,,,,,,,,,
271,142832,4336,0.035597478077193614,0.4375,0.4375,,,,,,,,,
272,143360,4352,0.02287585741285312,0.75,0.75,,,,,,,,,
273,143888,4368,0.032791267577603096,0.6875,0.6875,0.021483524203915465,0.75,0.75,,,,,,
274,144416,4384,0.026607012653037714,0.625,0.625,,,,,,,,,
275,144944,4400,0.02344174215142516,0.8125,0.8125,,,,,,,,,
276,145472,4416,0.025118278467716665,0.8125,0.8125,,,,,,,,,
277,146000,4432,0.03056440355629235,0.5625,0.5625,,,,,,,,,
278,146528,4448,0.027825140106356512,0.625,0.625,,,,,,,,,
279,147056,4464,0.021645047794476117,0.8125,0.8125,,,,,,,,,
280,147584,4480,0.017920807129815017,0.875,0.875,,,,,,,,,
281,148112,4496,0.029322682766180608,0.625,0.625,0.027408867206461237,0.875,0.875,,,,,,
282,148640,4512,0.02728969303324107,0.6875,0.6875,,,,,,,,,
283,149168,4528,0.02391688445620282,0.75,0.75,,,,,,,,,
284,149696,4544,0.030631200860545105,0.75,0.75,,,,,,,,,
285,150224,4560,0.02625104430868945,0.6875,0.6875,,,,,,,,,
286,150752,4576,0.030903577654686393,0.6875,0.6875,,,,,,,,,
287,151280,4592,0.03211626346978122,0.5625,0.5625,,,,,,,,,
288,151808,4608,0.033106080999117465,0.625,0.625,,,,,,,,,
289,152336,4624,0.030300949045499695,0.5625,0.5625,0.030566607319092044,0.625,0.625,,,,,,
290,152864,4640,0.03611958412752927,0.5,0.5,,,,,,,,,
291,153392,4656,0.027905340031439605,0.6875,0.6875,,,,,,,,,
292,153920,4672,0.026062161330881965,0.75,0.75,,,,,,,,,
293,154448,4688,0.03110520985272529,0.5625,0.5625,,,,,,,,,
294,154976,4704,0.02822629755596608,0.625,0.625,,,,,,,,,
295,155504,4720,0.030869934308376513,0.5625,0.5625,,,,,,,,,
296,156032,4736,0.022400544427498233,0.75,0.75,,,,,,,,,
297,156560,4752,0.03003293100054691,0.75,0.75,0.03287414871565147,0.6875,0.6875,,,,,,
298,157088,4768,0.02326882366768672,0.8125,0.8125,,,,,,,,,
299,157616,4784,0.02795107155113897,0.75,0.75,,,,,,,,,
300,158144,4800,0.023387398080145658,0.8125,0.8125,,,,,,,,,
301,158672,4816,0.03548055287915986,0.5,0.5,,,,,,,,,
302,159200,4832,0.03216164171486411,0.5,0.5,,,,,,,,,
303,159728,4848,0.027783612758276063,0.75,0.75,,,,,,,,,
304,160256,4864,0.03307661152499463,0.625,0.625,,,,,,,,,
305,160784,4880,0.02725953740303794,0.6875,0.6875,0.027668459740186793,0.6875,0.6875,,,,,,
306,161312,4896,0.03421938892299636,0.5625,0.5625,,,,,,,,,
307,161840,4912,0.03275208342884752,0.5625,0.5625,,,,,,,,,
308,162368,4928,0.03220144918356738,0.625,0.625,,,,,,,,,
309,162896,4944,0.0217326453374406,0.875,0.875,,,,,,,,,
310,163424,4960,0.02670245548402477,0.75,0.75,,,,,,,,,
311,163952,4976,0.030033229893750787,0.6875,0.6875,,,,,,,,,
312,164480,4992,0.02915996726871526,0.75,0.75,,,,,,,,,
313,165008,5008,0.027965716985774523,0.75,0.75,0.03162017339821774,0.6875,0.6875,,,,,,
314,165536,5024,0.02860139469170576,0.625,0.625,,,,,,,,,
315,166064,5040,0.029644783490637115,0.75,0.75,,,,,,,,,
316,166592,5056,0.03265170561023979,0.625,0.625,,,,,,,,,
317,167120,5072,0.027925564891987165,0.625,0.625,,,,,,,,,
318,167648,5088,0.027808668276045837,0.8125,0.8125,,,,,,,,,
319,168176,5104,0.03092808663572043,0.5625,0.5625,,,,,,,,,
320,168704,5120,0.02672683891557597,0.75,0.75,,,,,,,,,
321,169232,5136,0.03377223795287961,0.5,0.5,0.024978922496031827,0.6875,0.6875,,,,,,
322,169760,5152,0.027411517557464432,0.5,0.5,,,,,,,,,
323,170288,5168,0.024428423004948744,0.5625,0.5625,,,,,,,,,
324,170816,5184,0.026243867820809043,0.8125,0.8125,,,,,,,,,
325,171344,5200,0.029381488641027433,0.5,0.5,,,,,,,,,
326,171872,5216,0.027901823047053822,0.75,0.75,,,,,,,,,
327,172400,5232,0.028769643804947124,0.6875,0.6875,,,,,,,,,
328,172928,5248,0.020923230638063613,0.9375,0.9375,,,,,,,,,
329,173456,5264,0.03398880140930373,0.5,0.5,0.03084747694780418,0.4375,0.4375,,,,,,
330,173984,5280,0.026251944443134223,0.6875,0.6875,,,,,,,,,
331,174512,5296,0.03375548847988426,0.6875,0.6875,,,,,,,,,
332,175040,5312,0.023244863279395817,0.8125,0.8125,,,,,,,,,
333,175568,5328,0.021347233899924448,0.875,0.875,,,,,,,,,
334,176096,5344,0.024687777486118417,0.9375,0.9375,,,,,,,,,
335,176624,5360,0.03043473434284863,0.5,0.5,,,,,,,,,
336,177152,5376,0.03014869150727122,0.625,0.625,,,,,,,,,
337,177680,5392,0.029262698925695073,0.75,0.75,0.028467571312830273,0.5625,0.5625,,,,,,
338,178208,5408,0.025239399562109383,0.875,0.875,,,,,,,,,
339,178736,5424,0.026316358400486593,0.875,0.875,,,,,,,,,
340,179264,5440,0.029799079904480552,0.625,0.625,,,,,,,,,
341,179792,5456,0.03341584195016594,0.5,0.5,,,,,,,,,
342,180320,5472,0.025269838849651474,0.5625,0.5625,,,,,,,,,
343,180848,5488,0.03054470792822087,0.5625,0.5625,,,,,,,,,
344,181376,5504,0.029371308720445768,0.625,0.625,,,,,,,,,
345,181904,5520,0.026488290760415794,0.625,0.625,0.029616769310130166,0.75,0.75,,,,,,
346,182432,5536,0.028631331299624776,0.6875,0.6875,,,,,,,,,
347,182960,5552,0.022602193695246343,0.8125,0.8125,,,,,,,,,
348,183488,5568,0.031930759856443273,0.625,0.625,,,,,,,,,
349,184016,5584,0.03032519115005357,0.6875,0.6875,,,,,,,,,
350,184544,5600,0.029458284863893593,0.625,0.625,,,,,,,,,
351,185072,5616,0.0246575036697925,0.8125,0.8125,,,,,,,,,
352,185600,5632,0.030740258539118485,0.625,0.625,,,,,,,,,
353,186128,5648,0.03178836809723634,0.5625,0.5625,0.027984711398835883,0.8125,0.8125,,,,,,
354,186656,5664,0.0257266587788979,0.75,0.75,,,,,,,,,
355,187184,5680,0.02755667437922284,0.6875,0.6875,,,,,,,,,
356,187712,5696,0.02513693253430006,0.6875,0.6875,,,,,,,,,
357,188240,5712,0.03165490062382219,0.6875,0.6875,,,,,,,,,
358,188768,5728,0.02581771498268154,0.8125,0.8125,,,,,,,,,
359,189296,5744,0.02994332918253349,0.6875,0.6875,,,,,,,,,
360,189824,5760,0.02080668143612911,1.0,1.0,,,,,,,,,
361,190352,5776,0.021953733197025538,0.8125,0.8125,0.030626500058488944,0.75,0.75,,,,,,
362,190880,5792,0.03462470637240756,0.625,0.625,,,,,,,,,
363,191408,5808,0.03427400356495667,0.4375,0.4375,,,,,,,,,
364,191936,5824,0.026825927243729383,0.625,0.625,,,,,,,,,
365,192464,5840,0.029067760420991816,0.6875,0.6875,,,,,,,,,
366,192992,5856,0.030835066453537938,0.625,0.625,,,,,,,,,
367,193520,5872,0.02681379631825223,0.75,0.75,,,,,,,,,
368,194048,5888,0.032347079902420715,0.5,0.5,,,,,,,,,
