step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
208,26016,832,0.01903479972410878,1.0,1.0,,,,,,,,,
209,26116,836,0.04845357102077591,0.75,0.75,0.027522195097681106,0.75,0.75,,,,,,
210,26248,840,0.030310318195975013,0.75,0.75,,,,,,,,,
211,26380,844,0.026708067158813263,0.75,0.75,,,,,,,,,
212,26512,848,0.029132445444838596,1.0,1.0,,,,,,,,,
213,26644,852,0.031289825095072964,0.75,0.75,,,,,,,,,
214,26776,856,0.024804286747280458,1.0,1.0,,,,,,,,,
215,26876,860,0.05037341681338148,0.5,0.5,,,,,,,,,
216,27008,864,0.06740088034427061,0.25,0.25,,,,,,,,,
217,27140,868,0.045930923789685496,0.5,0.5,0.031928844054600634,0.75,0.75,,,,,,
218,27272,872,0.029688053028858123,0.75,0.75,,,,,,,,,
219,27404,876,0.032311813468331826,1.0,1.0,,,,,,,,,
220,27536,880,0.05524958424431134,0.5,0.5,,,,,,,,,
221,27668,884,0.017922410825322,1.0,1.0,,,,,,,,,
222,27768,888,0.032378453161424355,0.75,0.75,,,,,,,,,
223,27900,892,0.021016125041187477,1.0,1.0,,,,,,,,,
224,28032,896,0.01818871358240358,1.0,1.0,,,,,,,,,
225,28164,900,0.02371053036307785,0.75,0.75,0.019106724054677216,1.0,1.0,,,,,,
226,28296,904,0.022240894584206215,1.0,1.0,,,,,,,,,
227,28396,908,0.03596593934491466,1.0,1.0,,,,,,,,,
228,28528,912,0.017640846830490775,1.0,1.0,,,,,,,,,
229,28660,916,0.020717150347486495,1.0,1.0,,,,,,,,,
230,28792,920,0.020481507425758994,1.0,1.0,,,,,,,,,
231,28924,924,0.021998903354715365,1.0,1.0,,,,,,,,,
232,29056,928,0.025740120142399972,1.0,1.0,,,,,,,,,
233,29156,932,0.032308354934293675,1.0,1.0,0.031139982668426,1.0,1.0,,,,,,
234,29288,936,0.023285578065126624,1.0,1.0,,,,,,,,,
235,29388,940,0.02565832240109861,1.0,1.0,,,,,,,,,
236,29520,944,0.03361656445472136,1.0,1.0,,,,,,,,,
237,29652,948,0.017131371055231742,1.0,1.0,,,,,,,,,
238,29784,952,0.019210391048932247,1.0,1.0,,,,,,,,,
239,29916,956,0.019140012663319796,1.0,1.0,,,,,,,,,
240,30048,960,0.020727003324197992,1.0,1.0,,,,,,,,,
241,30180,964,0.027599685329548724,1.0,1.0,0.024814992224100933,1.0,1.0,,,,,,
242,30312,968,0.02401953518528444,1.0,1.0,,,,,,,,,
243,30412,972,0.024315416977991236,1.0,1.0,,,,,,,,,
244,30544,976,0.018884626003626864,1.0,1.0,,,,,,,,,
245,30676,980,0.02259598391963209,1.0,1.0,,,,,,,,,
246,30776,984,0.02682449260435836,1.0,1.0,,,,,,,,,
247,30908,988,0.03119325889059553,0.75,0.75,,,,,,,,,
248,31008,992,0.056885235540938384,0.75,0.75,,,,,,,,,
249,31140,996,0.07397398634098465,0.5,0.5,0.020906760334548267,1.0,1.0,,,,,,
250,31272,1000,0.04105966860205256,0.75,0.75,,,,,,,,,
251,31404,1004,0.020131933853599265,1.0,1.0,,,,,,,,,
252,31504,1008,0.07026160886304714,0.75,0.75,,,,,,,,,
253,31604,1012,0.027455927143615406,1.0,1.0,,,,,,,,,
254,31736,1016,0.01786156327224944,1.0,1.0,,,,,,,,,
255,31868,1020,0.03744833022253829,0.5,0.5,,,,,,,,,
256,32000,1024,0.020936019611242498,1.0,1.0,,,,,,,,,
257,32132,1028,0.04485455260888898,0.75,0.75,0.03203379588739267,0.75,0.75,,,,,,
258,32232,1032,0.06565072392072731,0.5,0.5,,,,,,,,,
259,32364,1036,0.0314840591311895,0.75,0.75,,,,,,,,,
260,32496,1040,0.02393272152266491,1.0,1.0,,,,,,,,,
261,32628,1044,0.02107031833787005,0.75,0.75,,,,,,,,,
262,32760,1048,0.026595287913182802,1.0,1.0,,,,,,,,,
263,32892,1052,0.017774913948469476,1.0,1.0,,,,,,,,,
264,33024,1056,0.02340345634599771,1.0,1.0,,,,,,,,,
265,33124,1060,0.025859306288245232,1.0,1.0,0.02236768445740684,1.0,1.0,,,,,,
266,33256,1064,0.031019132370918214,1.0,1.0,,,,,,,,,
267,33388,1068,0.0278190281105185,0.75,0.75,,,,,,,,,
268,33488,1072,0.030473294739094853,1.0,1.0,,,,,,,,,
269,33620,1076,0.025258709457394845,1.0,1.0,,,,,,,,,
270,33752,1080,0.02419778450504282,0.75,0.75,,,,,,,,,
271,33852,1084,0.029997743427563065,1.0,1.0,,,,,,,,,
272,33952,1088,0.02021600218388206,1.0,1.0,,,,,,,,,
273,34084,1092,0.02097124044717873,1.0,1.0,0.022523702242289688,1.0,1.0,,,,,,
274,34216,1096,0.03913873035324514,0.75,0.75,,,,,,,,,
275,34348,1100,0.0334102287149102,0.5,0.5,,,,,,,,,
276,34480,1104,0.03299023609766551,0.5,0.5,,,,,,,,,
277,34580,1108,0.03494653036429706,1.0,1.0,,,,,,,,,
278,34712,1112,0.021958567338633658,1.0,1.0,,,,,,,,,
279,34812,1116,0.02743438305988775,1.0,1.0,,,,,,,,,
280,34944,1120,0.0210714932505698,1.0,1.0,,,,,,,,,
281,35076,1124,0.031942597894165495,0.75,0.75,0.023377831576561904,1.0,1.0,,,,,,
282,35176,1128,0.0760367012535888,0.5,0.5,,,,,,,,,
283,35276,1132,0.02194479249084831,1.0,1.0,,,,,,,,,
284,35408,1136,0.039951177481205497,0.5,0.5,,,,,,,,,
285,35540,1140,0.035439000505044754,0.75,0.75,,,,,,,,,
286,35672,1144,0.02017114374671621,1.0,1.0,,,,,,,,,
287,35804,1148,0.017209232460989484,1.0,1.0,,,,,,,,,
288,35936,1152,0.01738451129270402,1.0,1.0,,,,,,,,,
289,36068,1156,0.021107049728020685,1.0,1.0,0.02136439865840771,1.0,1.0,,,,,,
